full_text
Pantai Kelapa Kunjir | Rating: 4 | Komentar: tiket lumayan murah dibanding pantai sekitar nya... Bisa ngopi smbil ngadem di rerumputan
"Pantai Kelapa Kunjir | Rating: 5 | Komentar: Tempat nya bagus,, masuk nya hrga Nya murah ... Trimakasih,,"
Pantai Kelapa Kunjir | Rating: 5 | Komentar: Air bilasnya tau tau habis...
"Pantai Kelapa Kunjir | Rating: 1 | Komentar: Pengelolaan pantai gak jelas,area parkir di bagi dua jadi tidak leluasa,sana sini di mintain uang parkir.kalo kendaraan dan barang di tinggal gak aman, sedangkan kalo di pindah kena uang parkir lagi.selain itu akses menuju lokasi juga jalannya rusak berbatu."
Pantai Kelapa Kunjir | Rating: 1 | Komentar: Dasar penglolaan pantai Gak jelas selain akses jalanya yg terjal penglolaan parkirnya juga kaya preman sana-sini dimintain uang Parkir!
"Pantai Kelapa Kunjir | Rating: 5 | Komentar: Pantai yang bagus, asri, penjual ramah, jalan bagus, lokasi mudah dicapai"
"Pantai Kelapa Kunjir | Rating: 4 | Komentar: Bisa parkir dekat dengan laut . Ada mushola.ada kamar mandi dan bilas .
Tiket masuk 0 . Parkir mobil 30rb

Tinggal masalah sampah . (Pengunjung bertanggung jawab)"
Pantai Queen Artha | Rating: 4 | Komentar: Memory saya beberapa tahun yg lalu
Pantai Queen Artha | Rating: 5 | Komentar: Kerennnn
Pantai Queen Artha | Rating: 5 | Komentar: Tempatnya sangat sejuk dan bagus sekali
Pantai Queen Artha | Rating: 5 | Komentar: Akses jalan ketika hujan mengalami sedikit
Pantai Queen Artha | Rating: 5 | Komentar: Mantapp
Pantai Queen Artha | Rating: 5 | Komentar: Makam Ky Sangrra
Pantai Queen Artha | Rating: 5 | Komentar: PERNAH DIKIRA KASIR PADAHAL CUMA NUMPANG NYANTAI WAKTU ITU TAHUN 2017
Pantai Queen Artha | Rating: 3 | Komentar: 29 November 2009
Pantai Queen Artha | Rating: 5 | Komentar: Santai
"Pantai Queen Artha | Rating: 4 | Komentar: belum ramai
cooci yg buat foto"""
Pantai Queen Artha | Rating: 5 | Komentar: Mantap
Pantai Queen Artha | Rating: 5 | Komentar: Udah tutup
Pantai Queen Artha | Rating: 4 | Komentar: Belum terawat dengan baik
Pantai Queen Artha | Rating: 2 | Komentar: Bahaya pantai nya
Pantai Queen Artha | Rating: 5 | Komentar: Ok
Pantai Queen Artha | Rating: 5 | Komentar: Tempat nya asik
Pantai Queen Artha | Rating: 3 | Komentar: dulu sempat jadi tempat pariwisata yang ramai namun sekarang sudah di tutup dikarenakan adanya pihak kedua
"Pantai Queen Artha | Rating: 4 | Komentar: Pantai landai, ombak tidak terlalu kencang, cuma jalan masuknya bongkor, banyak rumput, jadi kesannya kurang asri dan kurang terawat. Semoga kedepannya dikelola dengan baik, karena pemandangan nya cantik"
Pantai Queen Artha | Rating: 5 | Komentar: Mantap
Pantai Queen Artha | Rating: 4 | Komentar: Cocok bt liburan dikala penat
Pantai Queen Artha | Rating: 5 | Komentar: Pantai plus ada hotelnya. Pandangannya sudah tentu laut.
"Pantai Queen Artha | Rating: 1 | Komentar: maag, sampahnya luar biasa, punglinya ada aja yang dimintain pas kesana"
"Pantai Queen Artha | Rating: 4 | Komentar: Agak ada bau ikan,krna dkt sma penjualan ikan"
Pantai Queen Artha | Rating: 4 | Komentar: mntep
Pantai Queen Artha | Rating: 3 | Komentar: Sayang sekali.... Tiba di lokasi turun hujan... Gak bisa turun dr mobil...
"Pantai Queen Artha | Rating: 4 | Komentar: Masih ttp utk umum, sbb klw sy lwt msh sepi dan masih d portal"
Pantai Queen Artha | Rating: 5 | Komentar: Makam Tubagus Sangkra
Pantai Queen Artha | Rating: 1 | Komentar: Perlu diperhatikan dalam pengelolaan lingkungan sekitar pantai
Pantai Queen Artha | Rating: 3 | Komentar: Sejuk dengan pemandangan alam sutera
Pantai Queen Artha | Rating: 4 | Komentar: Panas
"Pantai Queen Artha | Rating: 5 | Komentar: Pantai yang bagus untuk liburan, untuk mencari kepiting kecil juga bisa, tapi hati hati sama capitnya haha"
Pantai Queen Artha | Rating: 4 | Komentar: Bersih nyaman
"Pantai Queen Artha | Rating: 4 | Komentar: Sekarang lagi renofasi.
Semoga makin indah pantai nya."
"Pantai Queen Artha | Rating: 4 | Komentar: Pantai Queen Arta sedang dalam pembangunan jadi bukan tutup ya guys,karna bakalan jadi tempat penyebrangan ke pulau Tegal mas dll"
"Pantai Queen Artha | Rating: 3 | Komentar: Sudah tidak boleh berwisata lagi,jadi skrg kebanyakan nya yg berziarah ke makam waliyullah Tubagus Sangkrah lempasing"
Pantai Queen Artha | Rating: 5 | Komentar: Membuat fikiran rilekx&spot memancing yg cukup bagus
Pantai Queen Artha | Rating: 3 | Komentar: Pantainya belum begitu terurus jlnnya msh darurat semoga kedepanya semakin maju
Pantai Queen Artha | Rating: 5 | Komentar: Sekarang sudah tutup sedang dibangun untuk proyek yang lebih bagus lagi
Pantai Queen Artha | Rating: 5 | Komentar: apakah pantai queen artha masih buka untuk dikunjungi ?? soalnya bulan feb kemarin kok gak ada yg jaga tiket yg jualanpun gak ada disana kosong seperti pantai lepas.. tolong bantu jawab. terimakasih
Pantai Queen Artha | Rating: 5 | Komentar: Lokasinya sangat indah
"Pantai Queen Artha | Rating: 5 | Komentar: Karena tempat wisata religi, biar kita khususnya saya tau akan kemana setelah kita berada dikehidupan dunia"
Pantai Queen Artha | Rating: 5 | Komentar: karena tempat tinggal dan tempat lahir saya
"Pantai Queen Artha | Rating: 5 | Komentar: Cocok alternatif utk pariwisata,bersih menyediakan pondok Santai keluarga Dan nyaman utk rekreasi"
Pantai Queen Artha | Rating: 4 | Komentar: Lumayan buat santai sejenak ..
Pantai Queen Artha | Rating: 5 | Komentar: Ok
Pantai Queen Artha | Rating: 4 | Komentar: Anak saya senang main pasir disini..
Pantai Queen Artha | Rating: 5 | Komentar: Sedang dalam renovasi dan belu tau akan dibangun apa menurut informasi yang beredar akan dinagun pelabuhan antar pulau wisata
"Pantai Klara Lampung | Rating: 5 | Komentar: nyaman, bersih ga ad pungli"
Pantai Klara Lampung | Rating: 4 | Komentar: Jadi kangen sama pantai di sana
Pantai Klara Lampung | Rating: 5 | Komentar: pantai pinggir jalan yg jernih.. hati2 bulu babi..
Pantai Klara Lampung | Rating: 2 | Komentar: b aja
Pantai Klara Lampung | Rating: 5 | Komentar: Bersih nyaman
Pantai Klara Lampung | Rating: 4 | Komentar: nyaman tempatnya banyak pohon nya
"Pantai Klara Lampung | Rating: 5 | Komentar: Kalo mau suasana lebih nyaman di pantai, dateng pagi banget.
Lebih rekomen buat lanjut nyebrang ke Kelagian."
Pantai Klara Lampung | Rating: 5 | Komentar: Bagus
Pantai Klara Lampung | Rating: 5 | Komentar: Ok
Pantai Klara Lampung | Rating: 5 | Komentar: Sejarah Kampuang Padang
Pantai Klara Lampung | Rating: 5 | Komentar: Bersih murah sepi kalau pagi jadi enak!
"Pantai Klara Lampung | Rating: 5 | Komentar: Pantai yg luar biasa
Pantai bersih asir putih air laut bening bersih
Dasar pantainya landai luas jd seperti di kolam renang."
Pantai Klara Lampung | Rating: 5 | Komentar: Seru abisssss
Pantai Klara Lampung | Rating: 5 | Komentar: Lumayan bagus dan murmer.. Bersih juga
"Pantai Klara Lampung | Rating: 5 | Komentar: One of the best beach destination in Pesawaran, Lampung"
"Pantai Klara Lampung | Rating: 5 | Komentar: Harga tiket 50.000 per mobil
Sewa gazebo 50.000
Kl mau naik kapal ke pulau kelagian 350.000 (penumpang maksimal 25 orang)
Kondisi pantai aman untuk anak-anak berenang dengan memperhatikan batas pantai ya...
Kebersihan pantai untuk pengunjung yuuk jaga kebersihan bersama supaya semakin nyaman. Secara keseluruhan bagus.
Ada kantin di samping bisa nongki-nongki harga yg bersahabat wajar."
Pantai Klara Lampung | Rating: 3 | Komentar: Biasa aja
Pantai Klara Lampung | Rating: 5 | Komentar: Okok
"Pantai Klara Lampung | Rating: 5 | Komentar: Sangat suka tempat ini, lokasi pinggir jalan, pondokan nyaman, kebersihan pantai terjaga, sedikit karang dan KM tersedia banyak dgn air yg mengalir deras.. Selalu jadi pilihan klau ke pantai"
Pantai Klara Lampung | Rating: 5 | Komentar: Nice
"Pantai Klara Lampung | Rating: 4 | Komentar: Pantai yang banyak berkarang, hati-hari saat melangkah. Pantai yang indah dengan ombak yang tenang."
"Pantai Klara Lampung | Rating: 5 | Komentar: Ramai masuk mobil RP,50
Lumayan murah meriah"
"Pantai Klara Lampung | Rating: 5 | Komentar: Pantai nya bersih,toilet bersih sovenir nya jg murah"
Pantai Klara Lampung | Rating: 4 | Komentar: Cukup bagus
"Pantai Klara Lampung | Rating: 5 | Komentar: Termasuk kawasan pantai populer di propinsi lampung
Parkiran luas, bersih, toilet bagus"
Pantai Klara Lampung | Rating: 4 | Komentar: menemui saudara di Yon 9. nama hamed
Pantai Klara Lampung | Rating: 3 | Komentar: Tempat lumaya bagus
Pantai Klara Lampung | Rating: 5 | Komentar: Mantab putri duyung nya keren
"Pantai Klara Lampung | Rating: 5 | Komentar: Bersih, nyaman, aman"
"Pantai Klara Lampung | Rating: 4 | Komentar: Tempatnya nyaman, jalan menuju ke pantai dari kota bagus"
Pantai Klara Lampung | Rating: 5 | Komentar: Tempatnya nyaman ombak kecil cocok bawa anak anak
"Pantai Klara Lampung | Rating: 5 | Komentar: Enak, nyaman,asri, ada speedboat juga"
"Pantai Klara Lampung | Rating: 4 | Komentar: Udah sering ke sini karna emang salah satu favorit anak- anak

- gak berombak, udah kayak kolam renang
- airnya jernih
- lumayan bersih
- kamar bilas juga banyak dan bersih
- penjual makanan banyak
- HTM 50/mobil"
Pantai Klara Lampung | Rating: 5 | Komentar: Bersih dan kondusif
"Pantai Klara Lampung | Rating: 5 | Komentar: Bagus,."
Pantai Klara Lampung | Rating: 5 | Komentar: Topp deh
"Pantai Klara Lampung | Rating: 5 | Komentar: Pantai nya bersih,banyak permainan yang bisa di coba,penjaga pantai nya ramah,dan lain sebagainya"
Pantai Klara Lampung | Rating: 5 | Komentar: Bagus rapi terawat.bisa berenang
Pantai Klara Lampung | Rating: 5 | Komentar: Indah bnget ke sini..
Pantai Klara Lampung | Rating: 5 | Komentar: Sayang banyak pungli..
"Pantai Klara Lampung | Rating: 5 | Komentar: sangat seru menikmati senja dan menunggu matahari tenggelam disini, ciew dan vibes nya bagus banget, cocok bagi yg suka menangkap moment photo.

tp sayang di pantai nya masih banyak yg membuang sampah sembarangan."
Pantai Klara Lampung | Rating: 4 | Komentar: Harga tiket terjangkau. Ada perahu per orang 10.000 berkeliling area pantai. Pondokan juga cukup bersih. Namun untuk pantai kurang berpasir di tepiannya.
"Pantai Dewi Mandapa Pesawaran | Rating: 5 | Komentar: kesini tahun 2021 sama pacar dulu , pihak pantai nya asik baik dan , suasana adem tenang dan damai pas hujan lagi sambil dengerin lagu damai bersamamu , di saung per 2an sebelum masuk hutan nya , dan sekarang sudah putus hubungan tapi kenangan nya masih teringat dan tersimpan sangat indah love you."
"Pantai Dewi Mandapa Pesawaran | Rating: 5 | Komentar: sudah sepi sekarang, semoga bisa berjaya lagi kaya 8 tahun yang lalu"
Pantai Dewi Mandapa Pesawaran | Rating: 4 | Komentar: Biasa
"Pantai Dewi Mandapa Pesawaran | Rating: 4 | Komentar: Mau tanyaa.??
Ada sepot mancingya gak yaa..?"
"Pantai Dewi Mandapa Pesawaran | Rating: 5 | Komentar: Pantai nya bagus sebenarnya klo lebih di fasilitasi Dateng kesini pas lebaran hari ke2
Dan ktanya ditinggalin selama bulan puasa jadi kamar mandi pondokan musholla nya kotor tapi tempat nya bagus apalagi pagi2
Adem dan ombak nya kecil cuman emng jalur menuju ke sini blm bagus"
"Pantai Dewi Mandapa Pesawaran | Rating: 4 | Komentar: Bagus,sepi pas kesana cuma ada kita aja padahal hari libur sekolah. tiket masuknya 20rb (ditawar tadinya minta 30)
kalo kesini harus bawa makanan dr luar si karna di dlm gakada yang jualan lg
pondokannya ada bbrp yang udah rusak.
tempat dibagian tengah lautnya itu (sprt yang di foto)kayunya udah banyak yang lapuk dan bolong2,takut banget jatuh ke bawah."
"Pantai Dewi Mandapa Pesawaran | Rating: 4 | Komentar: Bagus, cuman karena sudah sepi pengunjung jadinya beberapa fasilitasnya sudah mulai tidak terawat"
Pantai Dewi Mandapa Pesawaran | Rating: 4 | Komentar: Kesini nemenin suami mancing
"Pantai Dewi Mandapa Pesawaran | Rating: 5 | Komentar: Cakepp view nyaa
Cuman akses nya agak kurang aja, tapi better dibanding yang dulu"
Pantai Dewi Mandapa Pesawaran | Rating: 5 | Komentar: Pemandangannya bagus bgtttt puas dehhhh
Pantai Dewi Mandapa Pesawaran | Rating: 5 | Komentar: good view's and recomended
Pantai Dewi Mandapa Pesawaran | Rating: 4 | Komentar: udah ga kerawat
Pantai Dewi Mandapa Pesawaran | Rating: 1 | Komentar: Pantai nya udh tutup
"Pantai Dewi Mandapa Pesawaran | Rating: 1 | Komentar: Males, pengalaman ada yang reseh banyak"
Pantai Dewi Mandapa Pesawaran | Rating: 4 | Komentar: Sebener nya bagus lho..cm kurang perawatan
"Pantai Dewi Mandapa Pesawaran | Rating: 5 | Komentar: Pantai yg sangat indah.
Yuk lihat pemandangan indah lainya di IG @petualangAmatir79"
"Pantai Dewi Mandapa Pesawaran | Rating: 3 | Komentar: Pantai nya sepi, karena fasilitas umumnya kurang memadai, seperti kamar mandi ada tp kebersihan tidak terjaga, lokasi pantai nya bersebelahan dengan hutan mangrove, pantainya bisa jalan ke tengah trus ada pantai lagi, biaya masuknya gak jelas karna gak ada tiket retribusi, kemarin 1 mobil, 4 org biaya mya 50rb, kamar mandinya 1 org 3 rb, utk view nya bagus, tp pantai nya perlu di benahi kembali"
"Pantai Dewi Mandapa Pesawaran | Rating: 4 | Komentar: Ni tmpt cakep bnr tenang, tpi klo rame beda vibe nya"
Pantai Dewi Mandapa Pesawaran | Rating: 5 | Komentar: Came on weekday and nobody but us. Clear water and white sand
Pantai Dewi Mandapa Pesawaran | Rating: 5 | Komentar: Tempat wisata yg menakjubkan
"Pantai Dewi Mandapa Pesawaran | Rating: 5 | Komentar: Pantainya kemaren pas kesanaa sepii, berasaa pivate bangett sm keluargaaa"
Pantai Dewi Mandapa Pesawaran | Rating: 5 | Komentar: Mantap
Pantai Dewi Mandapa Pesawaran | Rating: 5 | Komentar: Keren tempat nya
Pantai Dewi Mandapa Pesawaran | Rating: 5 | Komentar: Rekomendasi tempat liburan akhir tahun kalian nih keren
Pantai Dewi Mandapa Pesawaran | Rating: 5 | Komentar: Tempat nya keren abis. Gak nyesel bawa klient untuk foto prewedding.
"Pantai Dewi Mandapa Pesawaran | Rating: 4 | Komentar: Sebenernya pantai bagus, cuma agak kurang kerawat. Trus tiap mau masuk ke tempat foto harus bayar lagi diluar uang masuk pertama, jadi jatuhnya mahal. Baiknya dikoordinasikan lagi, berapa uang masuknya, tapi bisa ke spot-spot foto tanpa ditarik yang lagi. Agak kurang bersih juga. Sebenernya berpotensi, harap ditingkatkan lagi"
"Pantai Dewi Mandapa Pesawaran | Rating: 1 | Komentar: Pengalaman kesini pas libur lebaran, di pos masuk dimintain sama nenek2 uang masuk 50.000 katanya itu udh sama uang parkir, tapi pas ditanyain tiketnya mana, dia gabisa kasih tiket karena alasan ini memang tidak ada tiketnya. Dan pas masuk ternyata zonk banget, bukan pantai deh kayanya ini mah gaada pasir berhampar, dah gitu ada spot foto tapi bayar lagi 5k/orang. Toilet umum juga berbayar kencing 5ribu, mandi 10ribu. Mana jalanan kesini rusak banget gakaruan. Plisss buat kalian yg rencana kesini, coba dipikir matang2 yaaaa"
Pantai Dewi Mandapa Pesawaran | Rating: 1 | Komentar: Kurang sih
Pantai Dewi Mandapa Pesawaran | Rating: 5 | Komentar: Keren tempatnyaaaa....salah satu healing place di lampung
"Pantai Dewi Mandapa Pesawaran | Rating: 5 | Komentar: Bismillah....
""Sirih Segagang""
Didalam hati kan jadi berasa..
Diluar pun akan jadi bercahaya...."
"Pantai Dewi Mandapa Pesawaran | Rating: 2 | Komentar: selain wisata pantai disini juga ada wisata mangrovenya, pantainya banyak lumpurnya kurang bagus tapi kayak ditengah gitu ada pasir timbul yang pasirnya lumayan bagus, fasilitasnya juga dah tidak terawat, baik toilet maupun jembatannya, banyak sampah, harga masuk mahal, akses jalan tidak bagus, keunggulannya kalo air surut bisa cari kerang. kebanyakan orang pacaran yang kesini. kedepannya bisalah di[erbaiki, sayang kalo ada potensi disia siakan. trus ini juga pas mau keluar ada pungli juga kami kemaren. Berbenahlah"
Pantai Dewi Mandapa Pesawaran | Rating: 5 | Komentar: Keren
Pantai Dewi Mandapa Pesawaran | Rating: 3 | Komentar: Boleh mancing kah ??
Pantai Dewi Mandapa Pesawaran | Rating: 5 | Komentar: Pantai Dewi Mandapa bersebelahan dengan Mangrove
Pantai Dewi Mandapa Pesawaran | Rating: 2 | Komentar: Nomor Telepon 0821-8505-0577 Bukan nomor kontak Pantai Dewi Mandapa ya... Itu nomor saya.
"Pantai Dewi Mandapa Pesawaran | Rating: 1 | Komentar: PENGELOLAAN NYA GK KIRA2 NARIK UANG MASUK BILANG NYA 25K UDH SEMUA FASILITAS DIAREA PANTAI PAS MAIN KE PASIR TIMBUL NYA DISURUH BAYAR PAGI,,,
M3NDING GUSH DTNG GAIS SEBELUM KALIAN MENYESAL :)

#STOPPUNGLI"
Pantai Dewi Mandapa Pesawaran | Rating: 5 | Komentar: Mancaaaappp
Pantai Dewi Mandapa Pesawaran | Rating: 5 | Komentar: Mantap
Pantai Dewi Mandapa Pesawaran | Rating: 5 | Komentar: Sangat keren tempat nya
Pantai Dewi Mandapa Pesawaran | Rating: 4 | Komentar: Bagus buat spot foto apalagi untuk prewedding
Pantai Dewi Mandapa Pesawaran | Rating: 5 | Komentar: Tempat nya sangat indah... Bagus banget ini foto preweed. Recomended beach
Pantai Dewi Mandapa Pesawaran | Rating: 5 | Komentar: Tempatnya bagus
"Pantai Dewi Mandapa Pesawaran | Rating: 3 | Komentar: Pantai di kelilingi bukit2 di seberangnya, kurang terawat dan jangan lupa bawa makanan dari rumah ya ga ada warung. Apa karena hari selasa ya berkunjungnya.
Tapi kalau bisa ambil viewnya bsa dpt foto yg kece juga loh..

Harga tiket masuk 100.0000
Mobil : 50.000
Pendopo: 50.000"
"Pantai Dewi Mandapa Pesawaran | Rating: 4 | Komentar: Cuma pantai kecil yg gk bgtu bersih.. bayarnya 1 mobil 50rb, bilas nimba sendiri, udah gada lg bangunan2 bambu yg instagramble, kesapu bersih tsunami 2018, sisa 1 dermaga (bayar lg 5rb) seadanya yg ngehubungin ke pasir timbul yg gak jauh dr situ, yg lg hits tempat sebelum masuk dewimandapa..kawasan mangrove patengoran.. bayar 15rb..gak mampir jd gak bisa review,"
Pantai Dewi Mandapa Pesawaran | Rating: 5 | Komentar: Luar biasa
"Pantai Dewi Mandapa Pesawaran | Rating: 5 | Komentar: Pantai Dewi Mandapa
Biaya masuk 5k/org
Pantai nya bagus terdapat spot foto nya juga,. Namun saya sepi,tidak ada yg jualan di pinggir,dan byk pondok2 yg rusak tak terawat mungkin karena covid.,semoga setelah covid hilang,wisata tanah air pulih kembali"
Pantai Dewi Mandapa Pesawaran | Rating: 5 | Komentar: Keren
"Pantai Dewi Mandapa Pesawaran | Rating: 5 | Komentar: Bagus, murah, bersih, jalanya bagus, jdi pantai favorite saya sih.

Semoga aja tidak di cat warna warni kaya TK anak2"
Pantai Dewi Mandapa Pesawaran | Rating: 5 | Komentar: Keren
"Pantai Dewi Mandapa Pesawaran | Rating: 2 | Komentar: Terlalu mahal untuk pantai yang kurang menarik, jarang terurus juga banyak sampah dimana2. Masuk motor 30rb, mobil 50rb.
Kalau mau masuk ke pasir timbul nya harus bayar lagi 5rb. Untung nya pondok gratis."
Pantai Dewi Mandapa Pesawaran | Rating: 5 | Komentar: Pantai dewi mandapa ini memiliki banyak objek foto yang sangat bagus yang terletak di atas air dan memiliki keindahan pemandangan
"Pantai Dewi Mandapa Pesawaran | Rating: 3 | Komentar: tempatnya cukup luas, saat ini sedang tahap pembangunan untuk tiket masuk 1 motor 30.000 dan mobil 50.000 (harga sewaktu waktu dapat berubah)"
Pantai Dewi Mandapa Pesawaran | Rating: 4 | Komentar: Sudah mulai banyak tmpt yang tidak terurus
"Pantai Dewi Mandapa Pesawaran | Rating: 5 | Komentar: Tempat terindah untuk menikmati sunset sambil merefresh pikiran dan lelahnya bekerja

#bengkelproperty"
"Pantai Dewi Mandapa Pesawaran | Rating: 4 | Komentar: View bagus, tapi kayu mulai banyak yg rapuh"
Pantai Dewi Mandapa Pesawaran | Rating: 5 | Komentar: Kecewa : bunga citra lestari
Pantai Dewi Mandapa Pesawaran | Rating: 5 | Komentar: Hiden paradays
Pantai Dewi Mandapa Pesawaran | Rating: 5 | Komentar: Wisata pantai dan hutang mangrove. Masih banyak ikan buat mancing hehehe..
Pantai Dewi Mandapa Pesawaran | Rating: 5 | Komentar: Panas bgttt kalo datengnya siang2 enak sore adem. Tapi cahaya bgus siang buat poto-poto. Sangat merekomendasikan buat yg suka poto2 and travelig just for healing. Tidak terlalu jauh dari pusat kota mudah ditemukan. Jalan menuju pantai underlack tapi masih bisa ditempuh untuk kendaraan roda 2 maupun 4. Hmm kalau untuk keluarga kurang rekomendasi karena lumayan bahaya dan kurang hiburan
Pantai Dewi Mandapa Pesawaran | Rating: 1 | Komentar: Biasa
